pick_id,logged_at,sport,sport_label,player_id,player,team,market,market_label,line,side,price,hit_rate_at_pick,edge_at_pick,games_sample,commence_time,status,actual_value,result,graded_at
mlb|5265417|batter_hits|0.5|DraftKings|2026-09-04T02:10:00Z,2026-09-03 04:38 UTC,mlb,MLB,5265417,Jose Fermin,LAA,batter_hits,Hits,0.5,Under,113,1.0,0.5305,10,2026-09-04T02:10:00Z,pending,,,
nfl|00-0036259|player_reception_yds|24.5|BetOnline.ag|2026-09-13T20:25:00Z,2026-09-03 04:38 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,24.5,Over,-114,1.0,0.4673,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0036259|player_reception_yds|23.5|FanDuel|2026-09-13T20:25:00Z,2026-09-03 04:38 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,23.5,Over,-114,1.0,0.4673,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0036997|player_rush_yds|73.5|DraftKings|2026-09-14T00:20:00Z,2026-09-03 04:38 UTC,nfl,NFL,00-0036997,Javonte Williams,DAL,player_rush_yds,Rush Yds,73.5,Under,-114,1.0,0.4673,10,2026-09-14T00:20:00Z,pending,,,
nfl|00-0036997|player_rush_yds|73.5|FanDuel|2026-09-14T00:20:00Z,2026-09-03 04:38 UTC,nfl,NFL,00-0036997,Javonte Williams,DAL,player_rush_yds,Rush Yds,73.5,Under,-114,1.0,0.4673,10,2026-09-14T00:20:00Z,pending,,,
nfl|00-0036259|player_reception_yds|22.5|BetRivers|2026-09-13T20:25:00Z,2026-09-03 05:01 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,22.5,Over,-115,1.0,0.4651,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0034348|player_receptions|4.5|FanDuel|2026-09-15T00:15:00Z,2026-09-03 05:01 UTC,nfl,NFL,00-0034348,Courtland Sutton,DEN,player_receptions,Receptions,4.5,Over,124,0.9,0.4536,10,2026-09-15T00:15:00Z,pending,,,
nfl|00-0039732|player_pass_tds|1.5|BetRivers|2026-09-15T00:15:00Z,2026-09-03 05:01 UTC,nfl,NFL,00-0039732,Bo Nix,DEN,player_pass_tds,Pass TDs,1.5,Over,175,0.8,0.4364,10,2026-09-15T00:15:00Z,pending,,,
nfl|00-0036244|player_receptions|2.5|FanDuel|2026-09-11T00:35:00Z,2026-09-03 05:01 UTC,nfl,NFL,00-0036244,Colby Parkinson,LA,player_receptions,Receptions,2.5,Under,-130,1.0,0.4348,10,2026-09-11T00:35:00Z,pending,,,
mlb|5265417|batter_hits|0.5|2026-09-04T02:10:00Z,2026-09-03 17:03 UTC,mlb,MLB,5265417,Jose Fermin,LAA,batter_hits,Hits,0.5,Under,130,1.0,0.5652,10,2026-09-04T02:10:00Z,pending,,,
nfl|00-0036259|player_receptions|2.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_receptions,Receptions,2.5,Over,145,0.9,0.4918,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0036259|player_reception_yds|24.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,24.5,Over,-113,1.0,0.4695,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0037840|player_rush_yds|54.5|2026-09-11T00:35:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0037840,Kyren Williams,LA,player_rush_yds,Rush Yds,54.5,Over,-114,1.0,0.4673,10,2026-09-11T00:35:00Z,pending,,,
nfl|00-0039915|player_reception_yds|50.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0039915,Ladd McConkey,LAC,player_reception_yds,Rec Yds,50.5,Over,-114,1.0,0.4673,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0036259|player_reception_yds|23.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,23.5,Over,-114,1.0,0.4673,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0036997|player_rush_yds|73.5|2026-09-14T00:20:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036997,Javonte Williams,DAL,player_rush_yds,Rush Yds,73.5,Under,-114,1.0,0.4673,10,2026-09-14T00:20:00Z,pending,,,
nfl|00-0036259|player_reception_yds|22.5|2026-09-13T20:25:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0036259,Jauan Jennings,MIN,player_reception_yds,Rec Yds,22.5,Over,-115,1.0,0.4651,10,2026-09-13T20:25:00Z,pending,,,
nfl|00-0034348|player_receptions|4.5|2026-09-15T00:15:00Z,2026-09-03 17:03 UTC,nfl,NFL,00-0034348,Courtland Sutton,DEN,player_receptions,Receptions,4.5,Over,124,0.9,0.4536,10,2026-09-15T00:15:00Z,pending,,,
mlb|5132012|batter_rbis|0.5|2026-09-03T23:15:00Z,2026-09-03 17:03 UTC,mlb,MLB,5132012,Mickey Gasper,BOS,batter_rbis,RBIs,0.5,Over,183,0.8,0.4466,10,2026-09-03T23:15:00Z,pending,,,
nfl|00-0037840|player_rush_yds|55.5|2026-09-11T00:35:00Z,2026-09-03 19:32 UTC,nfl,NFL,00-0037840,Kyren Williams,LA,player_rush_yds,Rush Yds,55.5,Over,-110,1.0,0.4762,10,2026-09-11T00:35:00Z,pending,,,
